A Matter Of Trust,Billy Joel,The Bridge
A Room Of Our Own,Billy Joel,The Nylon Curtain
All About Soul,Billy Joel,River Of Dreams
All For Leyna,Billy Joel,Glass Houses
Allentown,Billy Joel,The Nylon Curtain
An Innocent Man,Billy Joel,An Innocent Man
Big Shot,Billy Joel,52nd Street
Don't Ask Me Why,Billy Joel,Glass Houses
Everybody Has A Dream,Billy Joel,The Stranger
Get It Right The First Time,Billy Joel,The Stranger
Goodnight Saigon,Billy Joel,The Nylon Curtain
Honesty,Billy Joel,52nd Street
I Go To Extremes,Billy Joel,Storm Front
It's Still Rock And Roll,Billy Joel,Glass Houses
Just The Way You Are,Billy Joel,The Stranger
Keeping The Faith,Billy Joel,An Innocent Man
Laura,Billy Joel,The Nylon Curtain
Leave A Tender Moment Alone,Billy Joel,An Innocent Man
Leningrad,Billy Joel,Storm Front
Movin' Out,Billy Joel,The Stranger
My Life,Billy Joel,52nd Street
Only The Good Die Young,Billy Joel,The Stranger
Piano Man,Billy Joel,Piano Man
Pressure,Billy Joel,The Nylon Curtain
Scenes From An Italian Restaurant,Billy Joel,The Stranger
She's Always A Woman,Billy Joel,The Stranger
Tell Her About It,Billy Joel,An Innocent Man
That's Not Her Style,Billy Joel,Storm Front
The Downeaster Alexa,Billy Joel,Storm Front
The Longest Time,Billy Joel,An Innocent Man
The River Of Dreams,Billy Joel,River Of Dreams
The Stranger,Billy Joel,The Stranger
Uptown Girl,Billy Joel,An Innocent Man
Vienna,Billy Joel,The Stranger
We Didn't Start The Fire,Billy Joel,Storm Front
You May Be Right,Billy Joel,Glass Houses
Hashtag Deep,Bo Burnham,what.
Are You Happy?,Bo Burnham,Make Happy
Art Is Dead,Bo Burnham,Words Words Words
Can't Handle This,Bo Burnham,Make Happy
Channel 5 News,Bo Burnham,what.
Eat A Dick,Bo Burnham,Make Happy
Eff,Bo Burnham,what.
From God's Perspective,Bo Burnham,what.
Hell Of A Ride,Bo Burnham,what.
Ironic,Bo Burnham,Words Words Words
Kill Yourself,Bo Burnham,Make Happy
Lower Your Expectations,Bo Burnham,Make Happy
Men And Women,Bo Burnham,Words Words Words
Nerds,Bo Burnham,what.
Oh Bo,Bo Burnham,Words Words Words
Pandering,Bo Burnham,Make Happy
Rant,Bo Burnham,Words Words Words
Repeat Stuff,Bo Burnham,what.
Sad,Bo Burnham,what.
Straight White Man,Bo Burnham,Make Happy
We Think We Know You,Bo Burnham,what.
What's Funny?,Bo Burnham,Words Words Words
Words Words Words,Bo Burnham,Words Words Words
